file_name;char_used;perc_printable
xortool_out/000.out;48;94.0
xortool_out/001.out;48;94.0
xortool_out/002.out;48;94.0
xortool_out/003.out;48;94.0
xortool_out/004.out;48;93.0
xortool_out/005.out;48;94.0
xortool_out/006.out;48;93.0
xortool_out/007.out;48;94.0
xortool_out/008.out;49;94.0
xortool_out/009.out;49;94.0
xortool_out/010.out;49;94.0
xortool_out/011.out;49;94.0
xortool_out/012.out;49;94.0
xortool_out/013.out;49;94.0
xortool_out/014.out;49;94.0
xortool_out/015.out;49;94.0
xortool_out/016.out;50;95.0
xortool_out/017.out;50;95.0
xortool_out/018.out;50;96.0
xortool_out/019.out;50;96.0
xortool_out/020.out;50;95.0
xortool_out/021.out;50;95.0
xortool_out/022.out;50;95.0
xortool_out/023.out;50;96.0
xortool_out/024.out;51;95.0
xortool_out/025.out;51;95.0
xortool_out/026.out;51;95.0
xortool_out/027.out;51;95.0
xortool_out/028.out;51;95.0
xortool_out/029.out;51;95.0
xortool_out/030.out;51;95.0
xortool_out/031.out;51;95.0
xortool_out/032.out;52;97.0
xortool_out/033.out;52;97.0
xortool_out/034.out;52;97.0
xortool_out/035.out;52;97.0
xortool_out/036.out;52;97.0
xortool_out/037.out;52;97.0
xortool_out/038.out;52;97.0
xortool_out/039.out;52;97.0
xortool_out/040.out;53;97.0
xortool_out/041.out;53;97.0
xortool_out/042.out;53;97.0
xortool_out/043.out;53;97.0
xortool_out/044.out;53;98.0
xortool_out/045.out;53;97.0
xortool_out/046.out;53;98.0
xortool_out/047.out;53;97.0
xortool_out/048.out;54;94.0
xortool_out/049.out;54;94.0
xortool_out/050.out;54;94.0
xortool_out/051.out;54;94.0
xortool_out/052.out;54;94.0
xortool_out/053.out;54;94.0
xortool_out/054.out;54;94.0
xortool_out/055.out;54;94.0
xortool_out/056.out;55;95.0
xortool_out/057.out;55;95.0
xortool_out/058.out;55;95.0
xortool_out/059.out;55;95.0
xortool_out/060.out;55;95.0
xortool_out/061.out;55;95.0
xortool_out/062.out;55;95.0
xortool_out/063.out;55;95.0
xortool_out/064.out;56;97.0
xortool_out/065.out;56;97.0
xortool_out/066.out;56;97.0
xortool_out/067.out;56;97.0
xortool_out/068.out;56;97.0
xortool_out/069.out;56;97.0
xortool_out/070.out;56;97.0
xortool_out/071.out;56;97.0
xortool_out/072.out;57;97.0
xortool_out/073.out;57;97.0
xortool_out/074.out;57;97.0
xortool_out/075.out;57;97.0
xortool_out/076.out;57;97.0
xortool_out/077.out;57;97.0
xortool_out/078.out;57;97.0
xortool_out/079.out;57;97.0
xortool_out/080.out;97;96.0
xortool_out/081.out;97;96.0
xortool_out/082.out;97;96.0
xortool_out/083.out;97;96.0
xortool_out/084.out;97;96.0
xortool_out/085.out;97;96.0
xortool_out/086.out;97;96.0
xortool_out/087.out;97;96.0
xortool_out/088.out;98;98.0
xortool_out/089.out;98;98.0
xortool_out/090.out;98;98.0
xortool_out/091.out;98;98.0
xortool_out/092.out;98;98.0
xortool_out/093.out;98;98.0
xortool_out/094.out;98;98.0
xortool_out/095.out;98;98.0
xortool_out/096.out;99;98.0
xortool_out/097.out;99;98.0
xortool_out/098.out;99;98.0
xortool_out/099.out;99;98.0
xortool_out/100.out;99;98.0
xortool_out/101.out;99;98.0
xortool_out/102.out;99;98.0
xortool_out/103.out;99;98.0
xortool_out/104.out;100;98.0
xortool_out/105.out;100;98.0
xortool_out/106.out;100;98.0
xortool_out/107.out;100;98.0
xortool_out/108.out;100;98.0
